------------------------------,--------------------
www.electricblue.eu,Portugal
------------------------------,--------------------
EnvLogger version,T2.4
EnvLogger Viewer version,5.3
downloading device type,android
device,SM-J737T1
device name,Galaxy J7 Star
downloading mode,auto
------------------------------,--------------------
serial number,0426 9800 0457 0A
custom name,6-N-B6
temperature,degrees Celsius
time zone,UTC+0000
sampling resolution,0.1
samples,448
time diff [logger-smartphone](sec),87
lat,-0.765953
long,-90.340662
accuracy (m),7.5
------------------------------,--------------------
time,temp
14/02/2024 18:00,41.7
14/02/2024 19:30,45.2
14/02/2024 21:00,28.5
14/02/2024 22:30,27.9
15/02/2024 00:00,26.9
15/02/2024 01:30,26.7
15/02/2024 03:00,26.8
15/02/2024 04:30,26.6
15/02/2024 06:00,26
15/02/2024 07:30,25.7
15/02/2024 09:00,26.2
15/02/2024 10:30,27
15/02/2024 12:00,26.8
15/02/2024 13:30,26.7
15/02/2024 15:00,26.7
15/02/2024 16:30,29.1
15/02/2024 18:00,37.4
15/02/2024 19:30,42.5
15/02/2024 21:00,35.1
15/02/2024 22:30,28.4
16/02/2024 00:00,28.3
16/02/2024 01:30,28.1
16/02/2024 03:00,28.1
16/02/2024 04:30,28
16/02/2024 06:00,27.2
16/02/2024 07:30,27
16/02/2024 09:00,26.7
16/02/2024 10:30,27.3
16/02/2024 12:00,27.6
16/02/2024 13:30,27.4
16/02/2024 15:00,27.6
16/02/2024 16:30,28.2
16/02/2024 18:00,32.2
16/02/2024 19:30,38.4
16/02/2024 21:00,40
16/02/2024 22:30,29
17/02/2024 00:00,28.6
17/02/2024 01:30,28.3
17/02/2024 03:00,28.1
17/02/2024 04:30,27.9
17/02/2024 06:00,27.9
17/02/2024 07:30,27.1
17/02/2024 09:00,26.8
17/02/2024 10:30,26.6
17/02/2024 12:00,27.6
17/02/2024 13:30,27.5
17/02/2024 15:00,27.4
17/02/2024 16:30,27.8
17/02/2024 18:00,28.1
17/02/2024 19:30,27.4
17/02/2024 21:00,26.9
17/02/2024 22:30,27.2
18/02/2024 00:00,27.6
18/02/2024 01:30,27.5
18/02/2024 03:00,27.4
18/02/2024 04:30,27.2
18/02/2024 06:00,27.2
18/02/2024 07:30,26.8
18/02/2024 09:00,25.9
18/02/2024 10:30,25.5
18/02/2024 12:00,26.6
18/02/2024 13:30,27.4
18/02/2024 15:00,27.3
18/02/2024 16:30,27.4
18/02/2024 18:00,27.7
18/02/2024 19:30,28.2
18/02/2024 21:00,28.1
18/02/2024 22:30,27.7
19/02/2024 00:00,27.3
19/02/2024 01:30,27.9
19/02/2024 03:00,27.8
19/02/2024 04:30,27.9
19/02/2024 06:00,27.8
19/02/2024 07:30,27.7
19/02/2024 09:00,26.1
19/02/2024 10:30,25.4
19/02/2024 12:00,25
19/02/2024 13:30,26
19/02/2024 15:00,27.7
19/02/2024 16:30,27.9
19/02/2024 18:00,28.1
19/02/2024 19:30,28.4
19/02/2024 21:00,28.6
19/02/2024 22:30,27.9
20/02/2024 00:00,26.9
20/02/2024 01:30,27.1
20/02/2024 03:00,27.9
20/02/2024 04:30,27.9
20/02/2024 06:00,27.8
20/02/2024 07:30,27.7
20/02/2024 09:00,27.5
20/02/2024 10:30,26.1
20/02/2024 12:00,25.3
20/02/2024 13:30,26
20/02/2024 15:00,28
20/02/2024 16:30,28
20/02/2024 18:00,28.3
20/02/2024 19:30,28.2
20/02/2024 21:00,28.4
20/02/2024 22:30,28.5
21/02/2024 00:00,27.4
21/02/2024 01:30,26.6
21/02/2024 03:00,27.5
21/02/2024 04:30,27.8
21/02/2024 06:00,27.7
21/02/2024 07:30,27.7
21/02/2024 09:00,27.6
21/02/2024 10:30,27.1
21/02/2024 12:00,26.2
21/02/2024 13:30,26.5
21/02/2024 15:00,27.7
21/02/2024 16:30,28
21/02/2024 18:00,28.4
21/02/2024 19:30,29
21/02/2024 21:00,29.2
21/02/2024 22:30,29.2
22/02/2024 00:00,28.2
22/02/2024 01:30,27.3
22/02/2024 03:00,26.3
22/02/2024 04:30,27.9
22/02/2024 06:00,28
22/02/2024 07:30,28
22/02/2024 09:00,28
22/02/2024 10:30,27.9
22/02/2024 12:00,26.5
22/02/2024 13:30,27.9
22/02/2024 15:00,32.6
22/02/2024 16:30,35.2
22/02/2024 18:00,29.3
22/02/2024 19:30,29.7
22/02/2024 21:00,29.8
22/02/2024 22:30,29.7
23/02/2024 00:00,28.7
23/02/2024 01:30,27.4
23/02/2024 03:00,26.8
23/02/2024 04:30,27.2
23/02/2024 06:00,28.5
23/02/2024 07:30,28.4
23/02/2024 09:00,28.3
23/02/2024 10:30,28.1
23/02/2024 12:00,27.4
23/02/2024 13:30,27.5
23/02/2024 15:00,33.8
23/02/2024 16:30,44.1
23/02/2024 18:00,29.4
23/02/2024 19:30,29.6
23/02/2024 21:00,29.5
23/02/2024 22:30,29.5
24/02/2024 00:00,28.5
24/02/2024 01:30,27.2
24/02/2024 03:00,26.6
24/02/2024 04:30,25.5
24/02/2024 06:00,28.4
24/02/2024 07:30,28.1
24/02/2024 09:00,27.7
24/02/2024 10:30,27.6
24/02/2024 12:00,27.3
24/02/2024 13:30,27.5
24/02/2024 15:00,31.8
24/02/2024 16:30,39.2
24/02/2024 18:00,30.3
24/02/2024 19:30,28.5
24/02/2024 21:00,28.6
24/02/2024 22:30,28.7
25/02/2024 00:00,28.6
25/02/2024 01:30,27
25/02/2024 03:00,25.5
25/02/2024 04:30,24.8
25/02/2024 06:00,26.9
25/02/2024 07:30,28
25/02/2024 09:00,27.9
25/02/2024 10:30,27.9
25/02/2024 12:00,27.8
25/02/2024 13:30,28.1
25/02/2024 15:00,29.9
25/02/2024 16:30,39.3
25/02/2024 18:00,41.1
25/02/2024 19:30,29.5
25/02/2024 21:00,29.6
25/02/2024 22:30,29.6
26/02/2024 00:00,29
26/02/2024 01:30,28.1
26/02/2024 03:00,26
26/02/2024 04:30,25.1
26/02/2024 06:00,25.4
26/02/2024 07:30,27.9
26/02/2024 09:00,27.8
26/02/2024 10:30,27.7
26/02/2024 12:00,27.6
26/02/2024 13:30,27.6
26/02/2024 15:00,30.2
26/02/2024 16:30,39.9
26/02/2024 18:00,41.7
26/02/2024 19:30,29.6
26/02/2024 21:00,29.7
26/02/2024 22:30,29.6
27/02/2024 00:00,29
27/02/2024 01:30,28.5
27/02/2024 03:00,26.3
27/02/2024 04:30,25
27/02/2024 06:00,24
27/02/2024 07:30,27.7
27/02/2024 09:00,27.7
27/02/2024 10:30,27.6
27/02/2024 12:00,27.4
27/02/2024 13:30,27.4
27/02/2024 15:00,28.9
27/02/2024 16:30,37.8
27/02/2024 18:00,39.4
27/02/2024 19:30,30
27/02/2024 21:00,29
27/02/2024 22:30,28.5
28/02/2024 00:00,28
28/02/2024 01:30,27.8
28/02/2024 03:00,26.2
28/02/2024 04:30,24.9
28/02/2024 06:00,24.3
28/02/2024 07:30,25.7
28/02/2024 09:00,27.3
28/02/2024 10:30,27.4
28/02/2024 12:00,27.3
28/02/2024 13:30,27.2
28/02/2024 15:00,29.1
28/02/2024 16:30,36.5
28/02/2024 18:00,40.4
28/02/2024 19:30,35.9
28/02/2024 21:00,28.8
28/02/2024 22:30,28.6
29/02/2024 00:00,28.5
29/02/2024 01:30,28.3
29/02/2024 03:00,27.1
29/02/2024 04:30,25
29/02/2024 06:00,23.9
29/02/2024 07:30,23.6
29/02/2024 09:00,27.7
29/02/2024 10:30,27.7
29/02/2024 12:00,27.6
29/02/2024 13:30,27.5
29/02/2024 15:00,28.6
29/02/2024 16:30,31.5
29/02/2024 18:00,40.5
29/02/2024 19:30,40.9
29/02/2024 21:00,28.9
29/02/2024 22:30,28.7
01/03/2024 00:00,28.7
01/03/2024 01:30,28.2
01/03/2024 03:00,28
01/03/2024 04:30,25.2
01/03/2024 06:00,23.9
01/03/2024 07:30,22.9
01/03/2024 09:00,27.3
01/03/2024 10:30,27.6
01/03/2024 12:00,27.4
01/03/2024 13:30,27.4
01/03/2024 15:00,27.8
01/03/2024 16:30,30.5
01/03/2024 18:00,34
01/03/2024 19:30,40.8
01/03/2024 21:00,29.1
01/03/2024 22:30,28.6
02/03/2024 00:00,28.3
02/03/2024 01:30,28
02/03/2024 03:00,27.8
02/03/2024 04:30,27
02/03/2024 06:00,24.7
02/03/2024 07:30,23.3
02/03/2024 09:00,26.8
02/03/2024 10:30,27.6
02/03/2024 12:00,27.4
02/03/2024 13:30,27.1
02/03/2024 15:00,27.3
02/03/2024 16:30,28
02/03/2024 18:00,31
02/03/2024 19:30,33.3
02/03/2024 21:00,29.2
02/03/2024 22:30,28
03/03/2024 00:00,27.7
03/03/2024 01:30,27.7
03/03/2024 03:00,27.7
03/03/2024 04:30,27.5
03/03/2024 06:00,25.6
03/03/2024 07:30,24.2
03/03/2024 09:00,23.9
03/03/2024 10:30,26.9
03/03/2024 12:00,26.6
03/03/2024 13:30,26.5
03/03/2024 15:00,26.8
03/03/2024 16:30,26.9
03/03/2024 18:00,28.9
03/03/2024 19:30,30.4
03/03/2024 21:00,29.9
03/03/2024 22:30,27.7
04/03/2024 00:00,26.9
04/03/2024 01:30,26.5
04/03/2024 03:00,26.4
04/03/2024 04:30,26.4
04/03/2024 06:00,25.3
04/03/2024 07:30,22.9
04/03/2024 09:00,21.7
04/03/2024 10:30,21
04/03/2024 12:00,25.1
04/03/2024 13:30,25.1
04/03/2024 15:00,25.4
04/03/2024 16:30,25.8
04/03/2024 18:00,27.3
04/03/2024 19:30,29.5
04/03/2024 21:00,29.2
04/03/2024 22:30,28.1
05/03/2024 00:00,27.7
05/03/2024 01:30,27.5
05/03/2024 03:00,27.4
05/03/2024 04:30,27.3
05/03/2024 06:00,27.2
05/03/2024 07:30,25.5
05/03/2024 09:00,23.1
05/03/2024 10:30,21.8
05/03/2024 12:00,21.7
05/03/2024 13:30,26.7
05/03/2024 15:00,26.9
05/03/2024 16:30,27.3
05/03/2024 18:00,27.8
05/03/2024 19:30,28.5
05/03/2024 21:00,29
05/03/2024 22:30,28.7
06/03/2024 00:00,27.1
06/03/2024 01:30,27.3
06/03/2024 03:00,27.1
06/03/2024 04:30,26.9
06/03/2024 06:00,26.6
06/03/2024 07:30,26.2
06/03/2024 09:00,24.2
06/03/2024 10:30,23.2
06/03/2024 12:00,22.5
06/03/2024 13:30,25.6
06/03/2024 15:00,25.7
06/03/2024 16:30,26.3
06/03/2024 18:00,26.6
06/03/2024 19:30,27.2
06/03/2024 21:00,28
06/03/2024 22:30,28.7
07/03/2024 00:00,27.2
07/03/2024 01:30,26.4
07/03/2024 03:00,27
07/03/2024 04:30,26.9
07/03/2024 06:00,26.6
07/03/2024 07:30,26.6
07/03/2024 09:00,26.6
07/03/2024 10:30,25.8
07/03/2024 12:00,24.7
07/03/2024 13:30,27
07/03/2024 15:00,28.4
07/03/2024 16:30,27.6
07/03/2024 18:00,28
07/03/2024 19:30,28.3
07/03/2024 21:00,28.3
07/03/2024 22:30,28.1
08/03/2024 00:00,27.7
08/03/2024 01:30,26.3
08/03/2024 03:00,27
08/03/2024 04:30,27.1
08/03/2024 06:00,26.9
08/03/2024 07:30,26.7
08/03/2024 09:00,26.8
08/03/2024 10:30,26.8
08/03/2024 12:00,26
08/03/2024 13:30,26.5
08/03/2024 15:00,32.3
08/03/2024 16:30,28.1
08/03/2024 18:00,27.9
08/03/2024 19:30,28
08/03/2024 21:00,27.8
08/03/2024 22:30,27.8
09/03/2024 00:00,27.4
09/03/2024 01:30,26.4
09/03/2024 03:00,26
09/03/2024 04:30,27.9
09/03/2024 06:00,27.6
09/03/2024 07:30,27.4
09/03/2024 09:00,27.3
09/03/2024 10:30,27.3
09/03/2024 12:00,25.9
09/03/2024 13:30,27
09/03/2024 15:00,29.9
09/03/2024 16:30,27.8
09/03/2024 18:00,27.6
