------------------------------,--------------------
www.electricblue.eu,Portugal
------------------------------,--------------------
EnvLogger version,T2.4
EnvLogger Viewer version,5.3
downloading device type,android
device,SM-J737T1
device name,Galaxy J7 Star
downloading mode,auto
------------------------------,--------------------
serial number,0456 3D00 F82E 10
custom name,6-P-B1
temperature,degrees Celsius
time zone,UTC+0000
sampling resolution,0.1
samples,514
time diff [logger-smartphone](sec),130
lat,-0.743366
long,-90.303913
accuracy (m),7.5
------------------------------,--------------------
time,temp
05/02/2024 06:00,27.5
05/02/2024 07:30,27.3
05/02/2024 09:00,26.6
05/02/2024 10:30,25.2
05/02/2024 12:00,24.6
05/02/2024 13:30,26.9
05/02/2024 15:00,27.4
05/02/2024 16:30,27.7
05/02/2024 18:00,27.7
05/02/2024 19:30,27.9
05/02/2024 21:00,27.9
05/02/2024 22:30,27.7
06/02/2024 00:00,27.3
06/02/2024 01:30,27.4
06/02/2024 03:00,27.2
06/02/2024 04:30,27.2
06/02/2024 06:00,27.1
06/02/2024 07:30,27
06/02/2024 09:00,26.8
06/02/2024 10:30,25.7
06/02/2024 12:00,25.3
06/02/2024 13:30,26.1
06/02/2024 15:00,27.2
06/02/2024 16:30,27.8
06/02/2024 18:00,27.8
06/02/2024 19:30,28.1
06/02/2024 21:00,28.2
06/02/2024 22:30,28.3
07/02/2024 00:00,26.7
07/02/2024 01:30,26.8
07/02/2024 03:00,27.3
07/02/2024 04:30,27.3
07/02/2024 06:00,27.3
07/02/2024 07:30,27.3
07/02/2024 09:00,27.2
07/02/2024 10:30,26.5
07/02/2024 12:00,25.7
07/02/2024 13:30,26.8
07/02/2024 15:00,29.2
07/02/2024 16:30,28
07/02/2024 18:00,28.5
07/02/2024 19:30,28.9
07/02/2024 21:00,28.8
07/02/2024 22:30,28.5
08/02/2024 00:00,27
08/02/2024 01:30,25.8
08/02/2024 03:00,26.5
08/02/2024 04:30,27.2
08/02/2024 06:00,27.4
08/02/2024 07:30,27.3
08/02/2024 09:00,27.2
08/02/2024 10:30,27
08/02/2024 12:00,25.5
08/02/2024 13:30,26.1
08/02/2024 15:00,32.9
08/02/2024 16:30,29.2
08/02/2024 18:00,28.8
08/02/2024 19:30,29
08/02/2024 21:00,29.1
08/02/2024 22:30,29
09/02/2024 00:00,28.2
09/02/2024 01:30,25.7
09/02/2024 03:00,25.6
09/02/2024 04:30,27.3
09/02/2024 06:00,27.4
09/02/2024 07:30,27.3
09/02/2024 09:00,27.2
09/02/2024 10:30,27.1
09/02/2024 12:00,25.8
09/02/2024 13:30,25.3
09/02/2024 15:00,32.7
09/02/2024 16:30,41.5
09/02/2024 18:00,29.1
09/02/2024 19:30,29.2
09/02/2024 21:00,29.1
09/02/2024 22:30,28.9
10/02/2024 00:00,28.5
10/02/2024 01:30,26.6
10/02/2024 03:00,26.2
10/02/2024 04:30,25.8
10/02/2024 06:00,27.5
10/02/2024 07:30,27.4
10/02/2024 09:00,27.3
10/02/2024 10:30,27.2
10/02/2024 12:00,27
10/02/2024 13:30,26.9
10/02/2024 15:00,29.4
10/02/2024 16:30,37.6
10/02/2024 18:00,30.8
10/02/2024 19:30,28.8
10/02/2024 21:00,28.8
10/02/2024 22:30,28.8
11/02/2024 00:00,28.2
11/02/2024 01:30,27
11/02/2024 03:00,25.7
11/02/2024 04:30,25.4
11/02/2024 06:00,26.1
11/02/2024 07:30,26.6
11/02/2024 09:00,26.4
11/02/2024 10:30,26.3
11/02/2024 12:00,26.2
11/02/2024 13:30,26.4
11/02/2024 15:00,34.6
11/02/2024 16:30,40.6
11/02/2024 18:00,46.6
11/02/2024 19:30,28.9
11/02/2024 21:00,28.7
11/02/2024 22:30,28.4
12/02/2024 00:00,28.2
12/02/2024 01:30,28.1
12/02/2024 03:00,27
12/02/2024 04:30,26.6
12/02/2024 06:00,26.5
12/02/2024 07:30,27.4
12/02/2024 09:00,27.3
12/02/2024 10:30,27.3
12/02/2024 12:00,27.3
12/02/2024 13:30,27.3
12/02/2024 15:00,30
12/02/2024 16:30,40.3
12/02/2024 18:00,30.3
12/02/2024 19:30,29.1
12/02/2024 21:00,28.3
12/02/2024 22:30,28
13/02/2024 00:00,27.9
13/02/2024 01:30,27.8
13/02/2024 03:00,27.3
13/02/2024 04:30,26.6
13/02/2024 06:00,26.3
13/02/2024 07:30,26.4
13/02/2024 09:00,27.3
13/02/2024 10:30,27.2
13/02/2024 12:00,27.2
13/02/2024 13:30,27.2
13/02/2024 15:00,28.1
13/02/2024 16:30,34.1
13/02/2024 18:00,31.9
13/02/2024 19:30,37.3
13/02/2024 21:00,28.7
13/02/2024 22:30,28.6
14/02/2024 00:00,28.3
14/02/2024 01:30,27.9
14/02/2024 03:00,27.6
14/02/2024 04:30,26.9
14/02/2024 06:00,26.4
14/02/2024 07:30,26.4
14/02/2024 09:00,27.3
14/02/2024 10:30,27.3
14/02/2024 12:00,27.2
14/02/2024 13:30,27.1
14/02/2024 15:00,27.5
14/02/2024 16:30,31.6
14/02/2024 18:00,43.7
14/02/2024 19:30,47
14/02/2024 21:00,29.6
14/02/2024 22:30,28.6
15/02/2024 00:00,27.9
15/02/2024 01:30,28
15/02/2024 03:00,28
15/02/2024 04:30,27.4
15/02/2024 06:00,26.2
15/02/2024 07:30,26
15/02/2024 09:00,26.2
15/02/2024 10:30,27.3
15/02/2024 12:00,27.4
15/02/2024 13:30,27.4
15/02/2024 15:00,27.6
15/02/2024 16:30,29.3
15/02/2024 18:00,42.4
15/02/2024 19:30,45.9
15/02/2024 21:00,33.7
15/02/2024 22:30,29.7
16/02/2024 00:00,29.1
16/02/2024 01:30,28.8
16/02/2024 03:00,28.7
16/02/2024 04:30,28.5
16/02/2024 06:00,27.2
16/02/2024 07:30,27.1
16/02/2024 09:00,26.9
16/02/2024 10:30,27.6
